session_id,label,temporal_inconsistency_score
20edaa03-5b50-4289-a377-ac0883e7530b,bot_t1,0.0
21072208-cb59-4026-bfb6-420b2bbe4ca7,bot_t3,0.0
21448c72-02ee-48c9-8072-8bc1018d1f04,bot_t2,0.0
216062f2-88ab-4b14-9fe0-998c44366698,human,0.0
2193bd5d-b25b-47dc-b57d-0304c01250c8,bot_t2,0.0
219edb10-934b-4cea-8971-9f65b7151944,bot_t3,0.0
21a24b97-e66f-40ff-beec-b90508bf2dff,bot_t3,0.0
21ba1d41-1b21-41df-8003-7c53419fd110,human,0.0
21d1d43a-b0f4-4365-b588-959e93c8d518,bot_t3,0.0
21e1cc97-0614-4956-949d-f10ba8121c18,bot_t1,0.0
2205b6b1-5c8f-48a6-bd15-c730a56323b2,human,0.0
222ea077-9477-4570-8e15-a2d06f7ee964,bot_t2,0.0
2259c7a3-2a49-4506-99ab-5079ac7eaec5,human,0.0
227657f2-7bfc-4985-aec1-70214c252d43,bot_t3,0.0
22bdd99a-a674-483f-922e-3c9f47bba7fc,bot_t1,0.0
231a6cd3-152b-4b39-b2ed-bb2bed86a722,bot_t3,0.0
2336a3fa-4843-4748-9063-449c5fb9d102,human,0.0
23395b82-919e-47a2-90ba-55522369a953,human,0.0
23edb163-399b-4553-af25-ab8cb4a38f4a,bot_t1,0.0
24333a88-d15c-4b3c-9d4f-4aeb10a9ca8a,bot_t2,0.0
2435e659-6ce9-4a0e-abe9-132383354bcf,bot_t1,0.0
2445b4d1-c313-4e84-a079-71e6f8b686d3,human,0.0
246dbfc9-4d0a-4d2e-ac84-75084032a4b6,bot_t3,0.0
24ae74ce-b203-4404-89a7-a02b1644454b,bot_t2,0.0
250c9b38-7947-4110-9880-262cbdf70f44,human,0.0
25242423-72dd-4f6a-a54c-44ed80bb71d5,bot_t2,0.0
253bf61c-1948-4b49-99f1-166a8dead60f,bot_t2,0.0
2555eebe-f596-4469-833e-fff6301657b0,bot_t2,0.0
256b95e2-f7cc-40bb-8b97-9e96413430b4,human,0.0
256e1c92-10fe-44a3-b0bf-bcb07393c060,bot_t3,0.0
25782c1e-0538-478d-91f6-8373ac1e44d7,bot_t1,0.0
25a6d76b-6ef1-4830-8ce8-f462d197caed,bot_t1,0.0
25cfe44f-96bf-467d-8b21-dd40979c25cd,bot_t1,0.0
25e9dec1-f876-46f7-8705-d20ae6dc7bd9,human,0.0
2601631a-1b06-423b-8167-6f001d0e55d1,bot_t3,0.0
2655a0e6-295d-4ce5-922c-50359cd7f070,bot_t1,0.0
265c382c-7674-4361-9781-eaf09b9ef2d4,bot_t1,0.0
26851ac3-edfa-428f-8c5c-3c359d8eae68,bot_t2,0.0
2693c9d1-8c83-43d9-a937-c72c4ac3797b,bot_t2,0.0
277cf105-7cee-4e82-a9c5-777e53a39340,bot_t3,0.0
279b175e-b9e9-419b-be05-a638856f040a,human,0.0
279d2ead-62b9-4b1c-b071-081be7bf2c8b,human,0.0
27fbe7c2-daa4-419d-a43b-bdcc62608eb8,bot_t2,0.0
282e2777-2807-424e-a68f-fda02b2d5bf6,human,0.0
282ed729-f24a-4922-93ab-ca5a4239fa32,bot_t2,0.0
284c6fd8-8e70-4b83-807e-51641a9dcc99,human,0.0
289783ae-f80d-43b3-939b-9cc78b3f614c,bot_t2,0.0
28bcf685-4500-400e-bc37-e0bd67294e16,human,0.0
28f313f0-b5cd-452e-842a-f3f572b22965,bot_t1,0.0
291b37b5-2665-463d-9dee-aa3d372d18a1,bot_t2,0.0
291fe010-908f-4316-8b77-a444714d67a7,bot_t2,0.0
29332e5b-b80b-4275-b780-b96129c52a0e,bot_t1,0.0
29503617-3e1b-4941-97e8-57ea21b24b7f,bot_t1,0.0
2956c181-1e41-431a-875b-30e2fce0cc78,bot_t2,0.0
29ac987b-8ff0-436c-8be8-0aa48970104a,human,0.0
29aee531-3c11-470a-a73c-15778b021a10,bot_t2,0.0
29b843d7-c7b2-4033-9561-0a0820f9d48c,bot_t3,0.0
29be65d8-260c-413e-8c3d-aa3600b56c29,human,0.0
29e1cef2-ca6a-424f-894e-3f5c111bfe61,bot_t1,0.0
2a48965c-bb0d-4559-900d-222ff58931a0,bot_t1,0.0
2a5b3808-4a0a-46f7-8075-4cde0173f5e2,human,0.0
2a5c3547-3f07-4d8f-89bc-6852a0c55ccb,human,0.0
2a6f7dc0-d1a8-4614-be1a-7e463f91f427,human,0.0
2afefad4-c757-4212-afa7-eec81342ffde,human,0.0
2b27184c-9ae6-4d9b-a8a4-b0dfbe156dd0,bot_t2,0.0
2b4c3138-b437-4727-8299-35a474201286,bot_t2,0.0
2b508660-71fd-4a7c-bec9-292c16daafb0,human,0.0
2b9860b4-435d-4815-98a1-9bad1e9c1aa1,human,0.0
2bd246a5-01cd-4352-8da1-81e866443557,bot_t2,0.0
2bdc958d-27b2-4902-bb3a-b7d1bf55048a,bot_t2,0.0
